Price,z0,z1,z2
31800.5,1.2695712,-0.05757877,-0.4380545
31798.5,1.2885467,-0.079797536,-0.3960983
31798.5,1.2825502,-0.08502239,-0.44362405
31798.5,1.2650505,-0.083133265,-0.4857222
31798.5,1.2480949,-0.079938635,-0.5123516
31779.0,1.2669374,-0.079290986,-0.5034514
31783.5,1.2396842,-0.08047047,-0.5014938
31774.5,1.2463727,-0.062040348,-0.49990574
31822.0,1.2269727,-0.07395415,-0.51778054
31818.0,1.2431233,-0.066312835,-0.5156931
31816.5,1.2538359,-0.06346133,-0.44299743
31784.5,1.254026,-0.06228654,-0.42843583
31769.0,1.2623605,-0.065194264,-0.48790476
31760.5,1.2705468,-0.0747505,-0.46502408
31750.0,1.2508644,-0.0703183,-0.42953804
31757.5,1.2502402,-0.059909705,-0.44558194
31740.0,1.2673151,-0.078866065,-0.33282575
31728.5,1.2937311,-0.071567655,-0.092838936
31731.5,1.2892921,-0.06532917,-0.08330035
31740.5,1.2599417,-0.062034126,-0.26572153
31769.5,1.267505,-0.07208288,-0.290719
31794.5,1.2745775,-0.091532886,-0.30756262
31791.0,1.2536649,-0.08469488,-0.336385
31784.5,1.2653033,-0.07725702,-0.35745925
31789.5,1.2342857,-0.055729605,-0.43196064
31776.0,1.24324,-0.07356185,-0.47600278
31775.5,1.2321917,-0.06475945,-0.47105184
31774.0,1.2726395,-0.06443921,-0.45884022
31757.5,1.2676535,-0.06485137,-0.4505718
31757.5,1.2656451,-0.061413232,-0.4031977
31764.0,1.2724612,-0.06523447,-0.41885787
31739.5,1.2820035,-0.06402099,-0.4692446
31750.5,1.268488,-0.074815094,-0.50005674
31750.0,1.264518,-0.08576064,-0.51197547
31731.0,1.2621721,-0.08105296,-0.5155229
31728.5,1.2472181,-0.07716134,-0.5466062
31746.0,1.2259057,-0.080512986,-0.5816723
31754.0,1.2060777,-0.074026674,-0.4548954
31731.0,1.2206168,-0.060991004,-0.29181832
31718.5,1.2498652,-0.059242018,-0.37911955
31719.5,1.2320243,-0.08458778,-0.27765593
31714.5,1.2294984,-0.079525575,-0.36039656
31674.0,1.2254665,-0.09764187,-0.40153828
31691.0,1.2328631,-0.09662424,-0.4434494
31694.0,1.231122,-0.09385067,-0.4811624
31724.0,1.2520099,-0.09614535,-0.46778294
31724.5,1.2544351,-0.08589251,-0.4558377
31729.5,1.2592573,-0.08144659,-0.41957122
31743.0,1.2712692,-0.06399046,-0.40585947
31736.5,1.2857542,-0.08627117,-0.34624258
31736.5,1.2800454,-0.10212006,-0.3376079
31743.5,1.2529374,-0.0869959,-0.3609403
31730.0,1.2295247,-0.076888904,-0.45966488
31716.5,1.2523092,-0.089677945,-0.4565255
31712.0,1.2306889,-0.077343225,-0.41031012
31680.0,1.2727993,-0.06564292,-0.3655186
31665.5,1.2346476,-0.07429923,-0.41399735
31676.5,1.2199329,-0.06705527,-0.44671118
31660.5,1.2429214,-0.047885943,-0.30647162
31664.0,1.2288485,-0.0400184,-0.26969758
31663.5,1.2392985,-0.03851341,-0.35783377
31660.5,1.2475486,-0.05923384,-0.37877613
31652.0,1.2309227,-0.0732439,-0.39873752
31666.0,1.2357845,-0.048471924,-0.40443775
31659.5,1.2249379,-0.04039737,-0.38715398
31679.0,1.2339171,-0.04101751,-0.25972196
31669.0,1.2411903,-0.043280333,-0.27969953
31669.5,1.2447287,-0.04658133,-0.28325394
31650.5,1.2636256,-0.045992687,-0.35251495
31650.0,1.2598046,-0.075168744,-0.36385497
31660.5,1.2412437,-0.06405146,-0.40932766
31640.5,1.2516358,-0.064288676,-0.37004834
31631.5,1.2394567,-0.04716224,-0.32836515
31640.0,1.243226,-0.03869278,-0.39407203
31640.0,1.2432493,-0.064375095,-0.32747155
31624.0,1.2377309,-0.05869006,-0.37478587
31630.0,1.2249799,-0.06481945,-0.3900655
31628.5,1.2339312,-0.04290979,-0.31857488
31620.0,1.2418402,-0.057985634,-0.35524675
31623.5,1.24318,-0.062181354,-0.37005946
31634.0,1.2532247,-0.07129778,-0.43414357
31608.0,1.2275898,-0.07572529,-0.48264423
31608.5,1.226333,-0.069909826,-0.49312916
31650.0,1.2436713,-0.076383665,-0.5179562
31624.0,1.2362779,-0.07036543,-0.5363372
31640.0,1.2333525,-0.069957525,-0.5566871
31650.5,1.2430936,-0.06928836,-0.47538638
31660.0,1.2436208,-0.052796885,-0.348874
31631.0,1.2472314,-0.042088028,-0.24294348
31613.5,1.2490293,-0.07301703,-0.33879262
31610.0,1.2376717,-0.09279384,-0.37922868
31574.5,1.2239864,-0.0891007,-0.34528506
31553.0,1.2429546,-0.0815378,-0.17236722
31504.0,1.2348567,-0.06294896,-0.29873815
31452.5,1.2109102,-0.07843293,-0.39156532
31412.0,1.227204,-0.08987202,-0.41929826
31374.0,1.2372693,-0.07855666,-0.32576177
31446.5,1.2632082,-0.07350616,-0.21337275
31464.5,1.262441,-0.067677684,-0.25455958
31473.5,1.2669064,-0.065359,-0.2188379
31531.5,1.2743624,-0.0778178,-0.18009582
31536.0,1.2648717,-0.076297805,-0.09511008
31506.0,1.2480658,-0.060793318,0.10323243
31521.5,1.2418002,-0.046465088,0.17520128
31512.0,1.2389479,-0.055630203,0.22307475
31495.0,1.2487077,-0.05294181,0.22979455
31514.5,1.2634606,-0.07437359,0.3046237
31523.0,1.2535694,-0.06688742,0.21473496
31537.5,1.2787306,-0.07518056,0.17635825
31503.5,1.264797,-0.06107682,0.09970361
31480.5,1.2526934,-0.031122316,0.28037035
